Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,-logq,logfc
0.94_197.5458m/z,197.5458106,0.93775,0.54581060000001,True,True,0.6743937088277189,0.21334878422672365,False,True, 0um_Ce 250um_Ce cv,100.0,32.68821921222221,1.5143912617436848,0.5703413924253097,,6.643856189774724
2.28_546.7703m/z,546.7702853,2.275266667,0.770285299999955,True,True,0.3271404804633006,0.05900268580091535,True,True, 0um_Ce 250um_Ce Media,0.011376297801918482,790.7222649977779,2.8980239677459485,10.641947045307598,8.336344307944069,-6.457825053202692
1.21_230.6356m/z,230.6355674,1.20815,0.6355674000000135,True,True,0.4033539071241823,0.43706844035336656,False,True, Media cv,0.01,5.060234932555557,0.7041706803860401,1.5316659380846285,,-6.643856189774724
8.74_792.5759m/z,792.5759311,8.741266667,0.575931100000048,True,False,,,True,True, 0um_Ce 250um_Ce Blanks Media,0.07702749527397569,14628.923837777776,4.165212378859065,0.8655131641700688,,-3.6984826762416034
0.83_291.1546m/z,291.1545621,0.831333333,0.15456210000002102,False,True,,,True,True, relfil,,,,,,
3.73_407.0652m/z,407.0652067,3.726533333,0.06520669999997608,True,True,0.277971277539266,0.1936138772847228,True,False, 0um_Ce 250um_Ce insource,100.0,31.79795512555555,1.5023991921151807,0.35323066141691073,,6.643856189774724
1.21_474.1657m/z,474.1656687,1.20815,0.1656687000000261,True,True,0.2585452174794389,0.16531960382477662,True,True, 0um_Ce 250um_Ce Media,0.7162848809355329,14.567009106666665,1.1633703917281728,1.1520054141931424,1.0351729118674111,-0.4813946043652321
2.71_814.7795m/z,814.7795004,2.7090333330000003,0.7795003999999608,False,True,,,True,True, relfil,,,,,,
2.06_341.2024m/z,341.2023995,2.0617333330000003,0.20239950000001272,True,True,0.3979274668246889,0.4344295724764078,False,False, 0um_Ce 250um_Ce Media cv insource,0.023674146436693404,183.28190814222214,2.2631195976311664,8.036267756816091,,-5.40054377902293
4.62_1415.4155m/z,1415.415459,4.623133333,0.4154590000000553,True,True,0.6221651277627478,0.3611832762646001,False,True, 0um_Ce 250um_Ce cv,100.0,55.812137298111104,1.7467286539268525,0.3679270396694667,,6.643856189774724
